class,present_before,present_after
igp-pro-accordions,True,True
igp-pro-accordions__content,True,True
igp-pro-accordions__heading,True,True
igp-pro-accordions__item,True,True
igp-pro-accordions__items,True,True
igp-pro-best-time-to-visit,True,True
igp-pro-best-time-to-visit__intro,True,True
igp-pro-best-time-to-visit__seasons,True,True
igp-pro-best-time-to-visit__summary,True,True
igp-pro-best-time-to-visit__tips,True,True
igp-pro-block,False,True
igp-pro-block-description,True,True
igp-pro-block-eyebrow,True,True
igp-pro-block-header,True,True
igp-pro-block-header--split,False,True
igp-pro-block-title,True,True
igp-pro-breadcrumb,False,True
igp-pro-breadcrumb__item,True,True
igp-pro-breadcrumb__list,True,True
igp-pro-brochure-cta,True,True
igp-pro-brochure-cta__actions,True,True
igp-pro-brochure-cta__body,False,True
igp-pro-brochure-cta__note,False,True
igp-pro-button,True,True
igp-pro-button--secondary,True,True
igp-pro-card,True,True
igp-pro-card-grid,True,True
igp-pro-card__badge,True,True
igp-pro-card__body,True,True
igp-pro-card__cta,True,True
igp-pro-card__excerpt,True,True
igp-pro-card__footer,True,True
igp-pro-card__image,True,True
igp-pro-card__image--placeholder,True,True
igp-pro-card__location,True,True
igp-pro-card__media,True,True
igp-pro-card__media-link,False,True
igp-pro-card__meta,True,True
igp-pro-card__price,True,True
igp-pro-card__rating,True,True
igp-pro-card__title,True,True
igp-pro-cta,True,True
igp-pro-cta__actions,True,True
igp-pro-cta__badges,True,True
igp-pro-cta__button,True,True
igp-pro-cta__button--primary,False,True
igp-pro-cta__button--secondary,True,True
igp-pro-cta__content,False,True
igp-pro-cta__eyebrow,True,True
igp-pro-cta__heading,True,True
igp-pro-cta__inner,True,True
igp-pro-cta__subheading,True,True
igp-pro-departure-dates,False,True
igp-pro-departure-dates__footnote,False,True
igp-pro-departure-dates__intro,True,True
igp-pro-departure-dates__row,True,True
igp-pro-departure-dates__status,True,True
igp-pro-departure-dates__table,True,True
igp-pro-departure-dates__table-wrap,True,True
igp-pro-destination-cards,False,True
